¿¸«•¿œ¿⁄,ITEM_CD,¡¶«∞ƒ⁄µÂ/∏Ì  ƒ™, ºˆ  ∑Æ,∆«∏≈¥‹∞°, ∆«∏≈¥Î±›,
20170526,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,100 ",465.2," 1,442,120 ",
20170530,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,220 ",465.2," 1,497,940 ",
20170601,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 6,630 ",465.2," 3,084,270 ",
20170602,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,120 ",441.6," 1,377,790 ",
20170605,20912612,µø√Ê«œ√  ¿”Ω≈µ∑S(MB)," 3,140 ",432.8," 1,358,990 ",
20170608,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 5,040 ",465.2," 2,344,600 ",
20170608,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,020 ",441.6," 1,333,630 ",
20170614,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,140 ",465.2," 1,460,720 ",
20170614,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,580 ",441.6," 1,580,920 ",
20170621,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,160 ",465.2," 1,470,030 ",
20170622,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,460 ",465.2," 1,609,590 ",
20170622,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,470 ",441.6," 1,532,350 ",
20170626,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,940 ",465.2," 2,298,080 ",
20170626,20912612,µø√Ê«œ√  ¿”Ω≈µ∑S(MB)," 3,440 ",432.8," 1,488,830 ",
20170703,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,950 ",465.2," 2,302,740 ",
20170703,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 2,990 ",441.6," 1,320,380 ",
20170705,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 4,470 ",465.2," 2,079,440 ",
20170707,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,010 ",441.6," 1,770,810 ",
20170714,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,320 ",465.2," 1,544,460 ",
20170714,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,650 ",441.6," 2,053,440 ",
20170719,20912612,µø√Ê«œ√  ¿”Ω≈µ∑S(MB)," 3,270 ",432.8," 1,415,250 ",
